                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0084,                 1.0059,                0.85592,                0.99393,                      1,                  0.995,                0.57443,                 1.4025,                 1.5991,                 1.0364,              0.0006536,              0.0006536,              0.0006536
                     36,                  0.966,                0.97157,                0.90864,                 0.9754,                      1,                  0.995,                0.61345,                 1.4209,                 1.4602,                 1.0364,               0.000614,               0.000614,               0.000614
                     37,                0.89237,                0.92344,                0.87695,                 0.9754,                      1,                  0.995,                0.61345,                 1.4209,                 1.4602,                 1.0364,              0.0005744,              0.0005744,              0.0005744
                     38,                0.90632,                0.98078,                0.85996,                  0.964,                      1,                  0.995,                0.62402,                 1.4245,                 1.3124,                  1.056,              0.0005348,              0.0005348,              0.0005348
                     39,                0.99312,                0.93875,                0.89626,                0.97735,                      1,                  0.995,                0.63061,                 1.4167,                 1.1471,                 1.0519,              0.0004952,              0.0004952,              0.0004952
                     40,                0.94574,                0.86958,                0.87386,                0.98476,                      1,                  0.995,                0.62136,                 1.4153,                 1.0404,                 1.0502,              0.0004556,              0.0004556,              0.0004556
                     41,                0.93735,                 1.2602,                0.92787,                0.98476,                      1,                  0.995,                0.62136,                 1.4153,                 1.0404,                 1.0502,               0.000416,               0.000416,               0.000416
                     42,                 1.0159,                 1.2851,                0.87795,                0.98579,                      1,                  0.995,                0.61328,                 1.4134,                 1.0432,                 1.0397,              0.0003764,              0.0003764,              0.0003764
                     43,                0.98293,                 1.3119,                0.96478,                0.98672,                      1,                  0.995,                0.60904,                 1.4117,                 1.0891,                 1.0327,              0.0003368,              0.0003368,              0.0003368
                     44,                0.97718,                 1.4054,                0.91628,                0.98671,                      1,                  0.995,                 0.6179,                 1.4017,                 1.0921,                 1.0289,              0.0002972,              0.0002972,              0.0002972
                     45,                0.97089,                 1.3375,                0.88543,                0.98671,                      1,                  0.995,                 0.6179,                 1.4017,                 1.0921,                 1.0289,              0.0002576,              0.0002576,              0.0002576
                     46,                0.90687,                 1.2936,                0.88634,                0.98752,                      1,                  0.995,                0.58831,                 1.3819,                 1.0145,                 1.0271,               0.000218,               0.000218,               0.000218
                     47,                0.96635,                 1.3252,                0.91339,                0.99021,                      1,                  0.995,                0.61708,                 1.3694,                0.91299,                 1.0274,              0.0001784,              0.0001784,              0.0001784
                     48,                 0.9204,                  1.271,                0.87463,                0.99213,                      1,                  0.995,                0.61879,                 1.3524,                0.83604,                 1.0274,              0.0001388,              0.0001388,              0.0001388
                     49,                0.98356,                 1.1876,                0.92611,                0.99213,                      1,                  0.995,                0.61879,                 1.3524,                0.83604,                 1.0274,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.93946,                 1.2269,                0.87454,                0.99271,                      1,                  0.995,                0.61592,                 1.3426,                0.79019,                 1.0249,               5.96e-05,               5.96e-05,               5.96e-05
