t,v
 0.0, 157.92770912282498
0.033, 167.570056517585
0.066, 174.33006803323002
0.099, 173.741925986255
0.132, 171.344533372945
0.165, 170.820612783555
0.198, 172.76456155675
0.231, 172.095428186465
0.264, 166.92742288434
0.29700000000000004, 164.51756573596998
0.33, 167.029497161755
0.363, 167.767068419
0.396, 171.54213921725
0.42900000000000005, 174.26361495839998
0.462, 173.11459839634
0.495, 173.242017546675
0.528, 169.54315068988498
0.561, 168.940075848255
0.5940000000000001, 167.42663469093
0.627, 171.48882922435502
0.66, 171.66125788571497
0.6930000000000001, 173.451559735555
0.726, 174.00105250319
0.759, 174.96031984680002
0.792, 172.47843996131002
0.8250000000000001, 173.185723249615
0.8580000000000001, 172.375142879275
0.891, 172.799789611865
0.924, 172.25444654921
0.9570000000000001, 170.50016652998
0.99, 173.74311543522498
1.0230000000000001, 174.84396197629002
1.056, 171.22933022973
1.089, 166.652453476025
1.122, 167.42135361012498
1.155, 169.41296946082
1.1880000000000002, 170.80251314449998
1.221, 166.99295704128002
1.254, 167.3688425826
1.2870000000000001, 168.82438646969499
1.32, 169.679935152955
1.353, 163.96567152687
1.3860000000000001, 164.31879862934
1.419, 162.55275513290502
1.452, 164.163315445945
1.485, 162.101463208975
1.518, 161.57342283216502
1.5510000000000002, 162.22467251156
1.584, 163.81586783675
1.617, 166.20567342303
1.6500000000000001, 161.72021203325
1.683, 161.44953844987
1.7160000000000002, 161.043795682295
1.749, 163.43887472721502
1.782, 161.86308823188
1.8150000000000002, 163.85749530835
1.848, 163.673640700695
1.881, 165.72260816469
1.9140000000000001, 165.487871422245
1.947, 166.81092774839001
1.98, 164.61950755392
2.013, 163.77827140144
2.0460000000000003, 159.96404941400502
2.079, 165.07645599943
2.112, 167.112340794395
2.145, 165.60628037348002
2.178, 166.91707954718498
2.2110000000000003, 169.46287332841
2.244, 168.10913082883002
2.277, 167.51903200716498
2.31, 166.175962156825
2.343, 163.279995990505
2.3760000000000003, 168.26352593966502
2.4090000000000003, 166.45484337296
2.442, 165.94976086653
2.475, 161.90169555019
2.508, 163.369610082855
2.541, 163.37437712630998
2.5740000000000003, 165.492776462015
2.607, 161.25203901772
2.64, 162.56610550847
2.673, 167.176480231305
2.706, 168.09520587146
2.7390000000000003, 165.008291937485
2.7720000000000002, 165.013698251215
2.805, 163.02905522661
2.838, 161.19704600358
2.871, 159.11737923088998
2.904, 158.87908208229
2.9370000000000003, 161.12659289264
2.97, 164.33453987274999
3.003, 168.55777230872
3.036, 165.04254455502002
3.069, 166.12763654183
3.1020000000000003, 164.70011974121002
3.1350000000000002, 165.28506896815
3.168, 165.659797995885
3.201, 166.45696315713002
3.234, 162.926230896395
3.2670000000000003, 164.601244605905
3.3000000000000003, 164.971290158285
3.333, 163.643216670425
3.366, 163.7434283476
3.399, 163.82445546154
3.4320000000000004, 162.3305701131
3.4650000000000003, 165.823923751575
3.498, 167.55824440544
3.531, 168.92076574879
3.564, 168.781990946165
3.597, 164.938043011405
3.6300000000000003, 161.24241928801
3.6630000000000003, 158.9266468829
3.696, 161.158456819335
3.729, 161.028969286995
3.762, 164.219807958635
3.7950000000000004, 164.06066927031
3.8280000000000003, 163.00775035627
3.861, 161.74145205385
3.894, 163.485605804835
3.927, 159.824825928475
3.96, 159.277897490435
3.9930000000000003, 160.417196075285
4.026, 161.98508651344
4.059, 161.686138584275
4.0920000000000005, 162.53816891740502
4.125, 162.59975909673
4.158, 161.690819199455
4.191, 157.30459349232999
4.224, 155.254270342525
4.257000000000001, 161.5365747046
4.29, 161.728377367505
4.323, 163.747162836555
4.356, 162.86082730225502
4.389, 162.08488700594
4.422000000000001, 162.313281781915
4.455, 159.687915861465
4.488, 157.982919363555
4.521, 159.48685509148498
4.554, 165.59971130716002
4.587000000000001, 171.66732948037
4.62, 169.92620781848
4.6530000000000005, 170.45515178625502
4.686, 169.64996339409498
4.719, 169.643652686335
4.752000000000001, 167.052935196275
4.785, 165.87782832614
4.8180000000000005, 166.92697102523
4.851, 174.43930153041498
4.884, 176.866022345965
4.917, 173.42723403637999
4.95, 179.425280125985
4.9830000000000005, 177.75703081683
5.016, 172.6433182893
5.049, 173.173785899655
