t,x_px,y_px,x_cm,y_cm
0, 872.1, 1605.17, 30.234638266006574, 55.64927680936334
0.033, 872.51, 1603.97, 30.248852463563118, 55.607674279929554
0.066, 873.47, 1603.93, 30.28213448711015, 55.60628752894843
0.099, 874.18, 1604.03, 30.30674931702514, 55.609754406401244
0.132, 873.42, 1603.79, 30.28040104838374, 55.601433900514486
0.165, 873.12, 1604.17, 30.270000416025294, 55.614608034835186
0.198, 872.71, 1604.94, 30.25578621846875, 55.64130299122187
0.231, 872.29, 1605.07, 30.241225333166923, 55.64580993191053
0.264, 871.94, 1605.24, 30.22909126208207, 55.65170362358031
0.29700000000000004, 871.99, 1605.22, 30.230824700808476, 55.651010248089754
0.33000000000000007, 871.9, 1605.07, 30.227704511100942, 55.64580993191053
0.3630000000000001, 872.2, 1605.01, 30.23810514345939, 55.64372980543884
0.39600000000000013, 872.36, 1605.04, 30.243652147383894, 55.64476986867468
0.42900000000000016, 872.29, 1605.15, 30.241225333166923, 55.64858343387278
0.4620000000000002, 872.33, 1605.44, 30.24261208414805, 55.65863737848595
0.4950000000000002, 872.35, 1605.53, 30.243305459638613, 55.66175756819348
0.5280000000000002, 872.31, 1605.59, 30.241918708657483, 55.66383769466517
0.5610000000000003, 872.55, 1605.21, 30.25023921454424, 55.65066356034447
0.5940000000000003, 872.47, 1605.19, 30.24746571258199, 55.649970184853906
0.6270000000000003, 872.56, 1604.99, 30.250585902289522, 55.643036429948275
0.6600000000000004, 872.28, 1604.98, 30.240878645421642, 55.64268974220299
0.6930000000000004, 872.57, 1605.09, 30.250932590034807, 55.64650330740108
0.7260000000000004, 872.57, 1604.93, 30.250932590034807, 55.640956303476585
0.7590000000000005, 872.86, 1604.88, 30.260986534647973, 55.63922286475018
0.7920000000000005, 872.7, 1604.67, 30.255439530723468, 55.631942422099264
0.8250000000000005, 872.66, 1604.78, 30.25405277974234, 55.63575598729736
0.8580000000000005, 872.6, 1604.8, 30.251972653270652, 55.63644936278792
0.8910000000000006, 873.19, 1604.28, 30.27242723024227, 55.61842160003328
0.9240000000000006, 873.61, 1603.98, 30.28698811554409, 55.60802096767483
0.9570000000000006, 873.63, 1603.9, 30.287681491034654, 55.60524746571259
0.9900000000000007, 873.66, 1603.89, 30.2887215542705, 55.6049007779673
1.0230000000000006, 873.32, 1604.14, 30.27693417093093, 55.613567971599345
1.0560000000000005, 873.48, 1604.03, 30.28248117485543, 55.609754406401244
1.0890000000000004, 873.18, 1604.46, 30.272080542496983, 55.62466197944835
1.1220000000000003, 872.55, 1604.66, 30.25023921454424, 55.631595734353986
1.1550000000000002, 872.38, 1604.58, 30.244345522874458, 55.62882223239173
1.1880000000000002, 872.61, 1604.04, 30.252319341015934, 55.61010109414652
1.221, 872.95, 1603.82, 30.264106724355507, 55.60247396375033
1.254, 872.92, 1603.8, 30.263066661119662, 55.601780588259764
1.287, 872.97, 1603.67, 30.26480009984607, 55.59727364757111
1.3199999999999998, 873.08, 1603.72, 30.268613665044168, 55.59900708629751
1.3529999999999998, 873.43, 1603.76, 30.280747736129022, 55.60039383727864
1.3859999999999997, 873.58, 1603.84, 30.28594805230825, 55.60316733924089
1.4189999999999996, 872.84, 1604.18, 30.26029315915741, 55.61495472258047
1.4519999999999995, 872.14, 1604.21, 30.2360250169877, 55.61599478581631
1.4849999999999994, 872.86, 1603.92, 30.260986534647973, 55.60594084120315
1.5179999999999993, 872.93, 1604.03, 30.263413348864944, 55.609754406401244
1.5509999999999993, 872.49, 1604.3, 30.248159088072555, 55.61911497552384
1.5839999999999992, 873.18, 1604.14, 30.272080542496983, 55.613567971599345
1.616999999999999, 873.05, 1604.3, 30.267573601808323, 55.61911497552384
1.649999999999999, 872.85, 1604.44, 30.26063984690269, 55.62396860395779
1.682999999999999, 872.63, 1604.43, 30.253012716506497, 55.62362191621251
1.7159999999999989, 873.01, 1604.05, 30.266186850827197, 55.61044778189181
1.7489999999999988, 873.28, 1603.88, 30.2755474199498, 55.604554090222024
1.7819999999999987, 873.09, 1603.73, 30.26896035278945, 55.5993537740428
1.8149999999999986, 873.13, 1603.68, 30.270347103770575, 55.59762033531639
1.8479999999999985, 873.48, 1603.8, 30.28248117485543, 55.601780588259764
1.8809999999999985, 873.53, 1603.72, 30.284214613581838, 55.59900708629751
