t,x_px,y_px,x_cm,y_cm
0, 566.08, 1665.17, 19.62529988489967, 57.729403281052825
0.033, 566.72, 1665.53, 19.64748790059769, 57.741884039882954
0.066, 566.45, 1665.12, 19.63812733147509, 57.72766984232641
0.099, 565.93, 1664.88, 19.620099568720445, 57.719349336439656
0.132, 566.3, 1664.99, 19.632927015295863, 57.72316290163775
0.165, 566.19, 1664.74, 19.62911345009777, 57.714495708005714
0.198, 566.27, 1664.68, 19.631886952060018, 57.712415581534025
0.231, 566.75, 1664.84, 19.648527963833534, 57.71796258545852
0.264, 566.2, 1664.82, 19.62946013784305, 57.71726920996797
0.29700000000000004, 566.26, 1664.8, 19.631540264314737, 57.7165758344774
0.33000000000000007, 566.44, 1664.74, 19.63778064372981, 57.714495708005714
0.3630000000000001, 566.13, 1664.61, 19.627033323626076, 57.70998876731705
0.39600000000000013, 566.15, 1664.57, 19.62772669911664, 57.708602016335924
0.42900000000000016, 566.48, 1664.64, 19.63916739471093, 57.7110288305529
0.4620000000000002, 566.45, 1664.55, 19.63812733147509, 57.70790864084536
0.4950000000000002, 566.42, 1664.56, 19.63708726823924, 57.708255328590646
0.5280000000000002, 566.38, 1664.45, 19.635700517258115, 57.70444176339255
0.5610000000000003, 566.47, 1664.7, 19.63882070696565, 57.71310895702459
0.5940000000000003, 566.6, 1664.81, 19.64332764765431, 57.71692252222268
0.6270000000000003, 566.54, 1664.75, 19.64124752118262, 57.71484239575099
0.6600000000000004, 566.57, 1664.69, 19.64228758441847, 57.71276226927931
0.6930000000000004, 566.71, 1664.83, 19.64714121285241, 57.717615897713245
0.7260000000000004, 566.48, 1664.89, 19.63916739471093, 57.71969602418494
0.7590000000000005, 566.55, 1665.02, 19.641594208927902, 57.7242029648736
0.7920000000000005, 566.72, 1665.05, 19.64748790059769, 57.72524302810944
0.8250000000000005, 566.87, 1664.95, 19.652688216776912, 57.72177615065663
0.8580000000000005, 567.23, 1665.0, 19.665168975607052, 57.723509589383035
0.8910000000000006, 567.29, 1664.93, 19.66724910207874, 57.72108277516607
0.9240000000000006, 567.23, 1664.74, 19.665168975607052, 57.714495708005714
0.9570000000000006, 567.65, 1664.59, 19.679729860908875, 57.70929539182649
0.9900000000000007, 567.68, 1664.51, 19.68076992414472, 57.706521889864234
1.0230000000000006, 567.46, 1664.42, 19.67314279374853, 57.703401700156704
1.0560000000000005, 567.44, 1664.45, 19.672449418257965, 57.70444176339255
1.0890000000000004, 567.32, 1664.35, 19.668289165314587, 57.70097488593973
1.1220000000000003, 567.12, 1664.49, 19.66135541040895, 57.70582851437367
1.1550000000000002, 567.2, 1664.52, 19.664128912371208, 57.70686857760952
1.1880000000000002, 567.11, 1664.73, 19.66100872266367, 57.71414902026043
1.221, 567.23, 1664.72, 19.665168975607052, 57.71380233251515
1.254, 567.12, 1664.77, 19.66135541040895, 57.715535771241555
1.287, 566.99, 1664.88, 19.65684846972029, 57.719349336439656
1.3199999999999998, 566.81, 1665.05, 19.650608090305223, 57.72524302810944
1.3529999999999998, 566.47, 1665.02, 19.63882070696565, 57.7242029648736
1.3859999999999997, 566.52, 1665.01, 19.640554145692057, 57.72385627712831
1.4189999999999996, 566.49, 1664.96, 19.639514082456213, 57.72212283840191
1.4519999999999995, 566.6, 1664.87, 19.64332764765431, 57.71900264869437
1.4849999999999994, 566.72, 1664.79, 19.64748790059769, 57.71622914673212
1.5179999999999993, 566.68, 1664.81, 19.646101149616563, 57.71692252222268
1.5509999999999993, 566.83, 1664.72, 19.65130146579579, 57.71380233251515
1.5839999999999992, 566.86, 1664.7, 19.65234152903163, 57.71310895702459
1.616999999999999, 566.84, 1666.48, 19.65164815354107, 57.77481937568471
1.649999999999999, 567.32, 1666.28, 19.668289165314587, 57.767885620779076
1.682999999999999, 564.48, 1666.32, 19.569829845654617, 57.7692723717602
1.7159999999999989, 564.43, 1658.95, 19.568096406928206, 57.51376350348768
1.7489999999999988, 562.06, 1654.5, 19.48593141129647, 57.35948745683738
1.7819999999999987, 565.61, 1646.98, 19.609005560871434, 57.09877827238563
1.8149999999999986, 570.03, 1636.94, 19.762241544285892, 56.750703776122926
1.8479999999999985, 572.1, 1620.82, 19.83400590755918, 56.19184313072901
1.8809999999999985, 565.81, 1612.61, 19.615939315777062, 55.90721249185283
1.9139999999999984, 554.79, 1598.41, 19.233889420476764, 55.414915893552994
1.9469999999999983, 551.27, 1585.83, 19.111855334137648, 54.978782709988764
1.9799999999999982, 550.99, 1570.85, 19.102148077269764, 54.459444467556956
2.012999999999998, 561.83, 1562.55, 19.477957593154997, 54.171693638973245
2.045999999999998, 570.83, 1555.86, 19.78997656390842, 53.93975953737987
2.078999999999998, 574.45, 1543.28, 19.915477527700354, 53.50362635381564
2.111999999999998, 576.01, 1536.64, 19.969560815964275, 53.27342569094868
2.144999999999998, 572.49, 1530.92, 19.847526729625162, 53.07512030064761
2.1779999999999977, 571.23, 1516.5, 19.803844073719684, 52.57519657195157
2.2109999999999976, 574.16, 1504.18, 19.905423583087185, 52.14807726976467
2.2439999999999976, 576.09, 1492.59, 19.97233431792653, 51.74626617298331
2.2769999999999975, 585.5, 1485.74, 20.298567486236497, 51.50878506746543
2.3099999999999974, 598.03, 1484.21, 20.732967231074316, 51.455741842437355
2.3429999999999973, 601.76, 1475.5, 20.862281760064345, 51.153776816297096
2.3759999999999972, 604.1, 1464.2, 20.943406692460236, 50.762019664128914
2.408999999999997, 606.28, 1460.6, 21.01898462093162, 50.63721207582754
2.441999999999997, 607.51, 1449.63, 21.061627213601252, 50.256895619253655
