t,x_px,y_px,x_cm,y_cm
0, 582.04, 1478.93, 20.17861352636907, 51.27269071292868
0.017, 582.38, 1478.66, 20.190400909708643, 51.26333014380608
0.034, 582.55, 1479.0, 20.19629460137843, 51.27511752714565
0.051000000000000004, 582.7, 1478.47, 20.201494917557657, 51.256743076645726
0.068, 582.41, 1478.78, 20.191440972944488, 51.26749039674945
0.085, 582.22, 1478.74, 20.184853905784138, 51.26610364576833
0.10200000000000001, 582.2, 1479.34, 20.18416053029358, 51.28690491048522
0.11900000000000001, 582.25, 1479.61, 20.185893969019983, 51.296265479607825
0.136, 582.23, 1479.55, 20.18520059352942, 51.294185353136136
0.15300000000000002, 582.22, 1479.27, 20.184853905784138, 51.28447809626825
0.17000000000000004, 582.25, 1478.52, 20.185893969019983, 51.25847651537213
0.18700000000000006, 582.23, 1479.03, 20.18520059352942, 51.276157590381494
0.20400000000000007, 582.2, 1478.66, 20.18416053029358, 51.26333014380608
0.22100000000000009, 581.98, 1478.61, 20.17653339989738, 51.26159670507967
0.2380000000000001, 581.89, 1478.84, 20.173413210189846, 51.26957052322114
0.2550000000000001, 581.93, 1478.65, 20.174799961170972, 51.262983456060795
0.27200000000000013, 581.91, 1479.0, 20.17410658568041, 51.27511752714565
0.28900000000000015, 581.93, 1479.13, 20.174799961170972, 51.27962446783432
0.30600000000000016, 581.81, 1479.41, 20.17063970822759, 51.2893317247022
0.3230000000000002, 581.86, 1479.36, 20.172373146954, 51.28759828597578
0.3400000000000002, 582.07, 1479.13, 20.179653589604918, 51.27962446783432
0.3570000000000002, 582.23, 1478.72, 20.18520059352942, 51.26541027027777
0.3740000000000002, 582.17, 1479.28, 20.18312046705773, 51.28482478401353
0.39100000000000024, 582.06, 1479.66, 20.179306901859633, 51.29799891833424
0.40800000000000025, 582.05, 1479.1, 20.17896021411435, 51.27858440459846
0.42500000000000027, 582.05, 1478.41, 20.17896021411435, 51.25466295017404
0.4420000000000003, 582.25, 1478.35, 20.185893969019983, 51.25258282370235
0.4590000000000003, 582.11, 1478.93, 20.18104034058604, 51.27269071292868
0.4760000000000003, 582.3, 1478.31, 20.18762740774639, 51.25119607272122
0.4930000000000003, 582.36, 1477.92, 20.18970753421808, 51.23767525065524
0.5100000000000003, 582.14, 1478.68, 20.182080403821885, 51.26402351929664
0.5270000000000004, 582.21, 1478.61, 20.184507218038856, 51.26159670507967
0.5440000000000004, 582.12, 1478.6, 20.181387028331322, 51.26125001733438
0.5610000000000004, 581.94, 1478.87, 20.175146648916257, 51.27061058645699
0.5780000000000004, 582.06, 1478.79, 20.179306901859633, 51.26783708449474
0.5950000000000004, 582.17, 1479.19, 20.18312046705773, 51.281704594306
0.6120000000000004, 582.18, 1479.7, 20.18346715480301, 51.29938566931536
0.6290000000000004, 582.02, 1480.04, 20.177920150878506, 51.31117305265494
0.6460000000000005, 581.83, 1480.04, 20.171333083718157, 51.31117305265494
0.6630000000000005, 581.84, 1479.29, 20.171679771463438, 51.285171471758815
0.6800000000000005, 581.81, 1478.71, 20.17063970822759, 51.265063582532484
0.6970000000000005, 581.85, 1478.56, 20.17202645920872, 51.25986326635326
0.7140000000000005, 581.16, 1478.16, 20.14810500478429, 51.245995756542
0.7310000000000005, 581.12, 1477.94, 20.146718253803165, 51.23836862614581
0.7480000000000006, 580.9, 1478.62, 20.13909112340697, 51.261943392824946
0.7650000000000006, 580.82, 1478.92, 20.136317621444718, 51.2723440251834
0.7820000000000006, 580.72, 1478.9, 20.132850743991902, 51.27165064969284
0.7990000000000006, 581.33, 1478.88, 20.153998696454078, 51.270957274202274
0.8160000000000006, 581.82, 1478.82, 20.170986395972875, 51.26887714773058
0.8330000000000006, 581.76, 1479.24, 20.168906269501186, 51.28343803303241
0.8500000000000006, 581.75, 1479.17, 20.168559581755904, 51.281011218815436
0.8670000000000007, 581.75, 1479.4, 20.168559581755904, 51.288985036956916
0.8840000000000007, 581.69, 1479.29, 20.166479455284215, 51.285171471758815
0.9010000000000007, 582.03, 1478.82, 20.178266838623788, 51.26887714773058
0.9180000000000007, 581.87, 1478.82, 20.172719834699283, 51.26887714773058
0.9350000000000007, 581.84, 1478.97, 20.171679771463438, 51.274077463909805
0.9520000000000007, 581.8, 1478.97, 20.170293020482312, 51.274077463909805
0.9690000000000007, 581.67, 1478.52, 20.16578607979365, 51.25847651537213
0.9860000000000008, 581.45, 1478.85, 20.158158949397457, 51.269917210966426
1.0030000000000008, 582.01, 1478.23, 20.177573463133225, 51.24842257075897
1.0200000000000007, 582.06, 1478.52, 20.179306901859633, 51.25847651537213
1.0370000000000006, 582.06, 1478.55, 20.179306901859633, 51.25951657860798
1.0540000000000005, 581.89, 1478.75, 20.173413210189846, 51.26645033351361
1.0710000000000004, 581.83, 1479.16, 20.171333083718157, 51.28066453107016
1.0880000000000003, 581.74, 1479.3, 20.168212894010622, 51.28551815950409
1.1050000000000002, 581.56, 1479.95, 20.16197251459555, 51.3080528629474
1.122, 581.65, 1479.97, 20.16509270430309, 51.30874623843796
1.139, 581.72, 1480.3, 20.16751951852006, 51.32018693403225
1.156, 582.04, 1480.08, 20.17861352636907, 51.312559803636056
1.1729999999999998, 581.76, 1479.13, 20.168906269501186, 51.27962446783432
1.1899999999999997, 580.65, 1476.96, 20.130423929774928, 51.204393227108206
1.2069999999999996, 580.07, 1475.11, 20.1103160405486, 51.14025599423111
1.2239999999999995, 579.05, 1471.97, 20.074953890529876, 51.0313960422127
1.2409999999999994, 578.51, 1464.3, 20.05623275228467, 50.76548654158172
