t,x,y,vx,vy,v, v_cm
0, 690.26, 1624.69, 0, 0, 0.0, 0.0
0.033, 689.85, 1625.0, -12.301358222961426, 9.414210319519043, 15.490344578, 0.5370312635
0.066, 689.44, 1624.46, -12.273614883422852, -16.36482048034668, 20.4560253864, 0.7091853319
0.099, 689.51, 1624.08, 2.2656989097595215, -11.363636016845703, 11.5873038167, 0.4017176234
0.132, 690.03, 1624.1, 15.874689102172852, 0.7213245630264282, 15.891068624, 0.5509238751
0.165, 689.94, 1624.22, -2.731785535812378, 3.5400390625, 4.4715243177, 0.1550222684
0.198, 689.7, 1624.1, -7.374156475067139, -3.676905870437622, 8.2400133203, 0.2856711639
0.231, 689.5, 1624.39, -5.942605018615723, 8.78536319732666, 10.606467926, 0.3677132451
0.264, 689.39, 1624.31, -3.1960227489471436, -2.4931936264038086, 4.0534647309, 0.1405286548
0.29700000000000004, 689.36, 1624.26, -1.0431463718414307, -1.5462239980697632, 1.8651978175, 0.0646641226
0.33000000000000007, 689.5, 1624.19, 4.229921340942383, -2.0382044315338135, 4.6953714021, 0.1627827725
0.3630000000000001, 689.51, 1624.02, 0.1979018747806549, -5.06776762008667, 5.0716302743, 0.1758272065
0.39600000000000013, 689.43, 1623.89, -2.4654505252838135, -3.921046495437622, 4.6317440042, 0.1605768886
0.42900000000000016, 689.55, 1624.07, 3.6232688426971436, 5.411783695220947, 6.5127169113, 0.2257879142
0.4620000000000002, 689.72, 1623.94, 5.0733160972595215, -3.8988518714904785, 6.3984047094, 0.2218248502
0.4950000000000002, 689.5, 1623.98, -6.784150123596191, 1.1689157485961914, 6.8841162149, 0.2386638729
0.5280000000000002, 689.59, 1623.53, 2.8298118114471436, -13.738458633422852, 14.026869466, 0.4862943749
0.5610000000000003, 689.58, 1623.42, -0.42909565567970276, -3.462357997894287, 3.4888458991, 0.1209540118
0.5940000000000003, 689.63, 1623.46, 1.5443744659423828, 1.2170040607452393, 1.9662633057, 0.0681679392
0.6270000000000003, 689.54, 1623.59, -2.667051315307617, 3.817471504211426, 4.6568498673, 0.1614472781
0.6600000000000004, 689.57, 1623.69, 1.0098544359207153, 3.018465995788574, 3.1829142776, 0.1103477374
0.6930000000000004, 689.6, 1623.5, 0.8896336555480957, -5.7151103019714355, 5.7839375615, 0.2005220272
0.7260000000000004, 689.66, 1623.38, 1.701586127281189, -3.647312879562378, 4.0247094375, 0.139531744
0.7590000000000005, 689.53, 1623.44, -3.8970022201538086, 1.7792673110961914, 4.2839723271, 0.1485200707
0.7920000000000005, 689.52, 1623.37, -0.4069010317325592, -2.2490530014038086, 2.2855650968, 0.079237741
0.8250000000000005, 689.46, 1623.59, -1.9309303760528564, 6.750858306884766, 7.0215797216, 0.2434295642
0.8580000000000005, 689.54, 1623.57, 2.472848653793335, -0.6547407507896423, 2.5580591007, 0.0886847742
0.8910000000000006, 689.31, 1623.67, -6.885875225067139, 3.11094331741333, 7.5560073094, 0.2619575137
0.9240000000000006, 689.35, 1623.62, 1.1744643449783325, -1.4463483095169067, 1.8631398529, 0.0645927755
0.9570000000000006, 689.38, 1623.75, 0.7916074991226196, 3.9173474311828613, 3.9965301007, 0.138554801
0.9900000000000007, 689.29, 1623.88, -2.8464577198028564, 3.802675247192383, 4.7500168649, 0.1646772637
1.0230000000000006, 689.26, 1623.74, -1.000606656074524, -4.342743873596191, 4.4565275344, 0.1545023483
1.0560000000000005, 689.22, 1623.79, -1.2059067487716675, 1.3760653734207153, 1.8296903771, 0.0634331231
1.0890000000000004, 689.07, 1623.81, -4.39823055267334, 0.5696614384651184, 4.4349686831, 0.1537549293
1.1220000000000003, 688.91, 1623.79, -4.954945087432861, -0.6584398746490479, 4.9985021255, 0.1732919432
1.1550000000000002, 688.78, 1623.7, -3.96728515625, -2.8187146186828613, 4.8666727397, 0.1687215799
1.1880000000000002, 688.81, 1623.55, 1.013553500175476, -4.653468132019043, 4.7625682596, 0.1651124052
1.221, 688.96, 1623.51, 4.620176315307617, -1.3094815015792847, 4.8021632565, 0.1664851152
1.254, 689.0, 1623.49, 1.2096058130264282, -0.7250236868858337, 1.4102501666, 0.0488916451
1.287, 689.17, 1623.5, 5.295262336730957, 0.44019293785095215, 5.313527266, 0.1842134787
1.3199999999999998, 689.19, 1623.66, 0.6676875948905945, 4.838423252105713, 4.8842753668, 0.1693318414
1.3529999999999998, 689.12, 1623.53, -2.169522285461426, -3.9876301288604736, 4.5396057959, 0.1573825698
1.3859999999999997, 689.12, 1623.46, 0.13316760957241058, -2.178770065307617, 2.1828358654, 0.0756762444
1.4189999999999996, 689.38, 1623.33, 7.786606311798096, -4.039417743682861, 8.7720086284, 0.3041147893
1.4519999999999995, 689.44, 1623.37, 1.671993374824524, 1.2909860610961914, 2.1123936282, 0.0732340984
1.4849999999999994, 689.6, 1623.38, 4.958643913269043, 0.24783973395824432, 4.9648337615, 0.1721247022
1.5179999999999993, 689.5, 1623.3, -2.9259884357452393, -2.548680067062378, 3.8803580373, 0.1345272579
1.5509999999999993, 689.42, 1623.38, -2.3563270568847656, 2.4044153690338135, 3.3665249697, 0.1167132951
1.5839999999999992, 689.35, 1623.56, -2.1565754413604736, 5.515358924865723, 5.921992882, 0.205308236
1.616999999999999, 689.35, 1623.76, 0.022194601595401764, 6.088719367980957, 6.0887596629, 0.2110898359
1.649999999999999, 689.12, 1623.74, -7.068980693817139, -0.46608665585517883, 7.0843295425, 0.2456050236
1.682999999999999, 688.98, 1623.77, -4.161488056182861, 0.9691643118858337, 4.2728518794, 0.1481345384
1.7159999999999989, 688.98, 1623.71, -0.03699100390076637, -1.9198330640792847, 1.9201894052, 0.0665706135
1.7489999999999988, 689.12, 1623.67, 4.2724609375, -1.3575698137283325, 4.4829586331, 0.1554186821
1.7819999999999987, 689.1, 1623.65, -0.7398200631141663, -0.5474668741226196, 0.9203552068, 0.0319075872
1.8149999999999986, 689.27, 1623.61, 5.152846813201904, -1.1874111890792847, 5.2878894491, 0.183324647
1.8479999999999985, 689.25, 1623.52, -0.6584398746490479, -2.792820692062378, 2.8693885774, 0.0994781856
1.8809999999999985, 689.3, 1623.53, 1.579515814781189, 0.22194603085517883, 1.595033017, 0.05529784
1.9139999999999984, 689.14, 1623.6, -4.721901893615723, 2.1861684322357178, 5.2034307167, 0.1803965663
1.9469999999999983, 689.2, 1623.61, 1.716382622718811, 0.3958037495613098, 1.7614283692, 0.061066563
1.9799999999999982, 689.14, 1623.45, -1.8403024673461914, -4.82362699508667, 5.1627600062, 0.1789865626
2.012999999999998, 689.14, 1623.6, 0.11467210948467255, 4.435221195220947, 4.4367032478, 0.1538150645
2.045999999999998, 689.12, 1623.64, -0.48458215594291687, 1.1874111890792847, 1.2824840185, 0.0444621493
2.078999999999998, 689.18, 1623.57, 1.7681699991226196, -2.1121864318847656, 2.754588201, 0.0954981973
2.111999999999998, 689.08, 1623.54, -3.009218215942383, -0.9876598119735718, 3.1671541909, 0.1098013545
2.144999999999998, 689.06, 1623.38, -0.7046786546707153, -4.956794738769531, 5.0066343162, 0.1735738763
2.1779999999999977, 689.02, 1623.31, -1.3483221530914307, -2.056699752807617, 2.4592654406, 0.0852597191
2.2109999999999976, 689.03, 1623.26, 0.436493843793869, -1.5536221265792847, 1.6137747021, 0.0559475913
2.2439999999999976, 689.06, 1623.26, 0.8840849995613098, -0.03699100390076637, 0.8848585202, 0.0306769605
2.2769999999999975, 689.4, 1623.18, 10.172526359558105, -2.3748223781585693, 10.4460553039, 0.362151936
2.3099999999999974, 689.48, 1623.14, 2.352627754211426, -1.3427734375, 2.7088554368, 0.0939126984
2.3429999999999973, 689.47, 1623.16, -0.38840553164482117, 0.5881569385528564, 0.7048314897, 0.024435644
2.3759999999999972, 689.32, 1623.24, -4.503654956817627, 2.459901809692383, 5.1316687763, 0.1779086678
2.408999999999997, 689.37, 1623.24, 1.5277284383773804, -0.07768110930919647, 1.5297020854, 0.0530328967
2.441999999999997, 689.39, 1623.2, 0.5419182181358337, -1.3316761255264282, 1.4377192454, 0.0498439644
2.474999999999997, 689.56, 1623.18, 5.0585198402404785, -0.4734848439693451, 5.0806309547, 0.176139249
2.507999999999997, 689.44, 1623.21, -3.750887870788574, 1.0320490598678589, 3.8902808347, 0.1348712691
2.540999999999997, 689.72, 1623.18, 8.391408920288086, -0.9691643118858337, 8.4471899834, 0.2928537249
2.5739999999999967, 689.7, 1623.19, -0.6048029065132141, 0.30702534317970276, 0.6782706829, 0.0235148134
2.6069999999999967, 690.37, 1625.69, 20.40608787536621, 75.74278259277344, 78.443466531, 2.7195388544
2.6399999999999966, 690.46, 1625.69, 2.8335108757019043, -0.04438920319080353, 2.8338585161, 0.0982464019
2.6729999999999965, 691.12, 1627.6, 20.01398277282715, 57.92051315307617, 61.2808735168, 2.1245327868
2.7059999999999964, 690.95, 1627.7, -5.271218299865723, 3.0739524364471436, 6.1020426348, 0.2115503403
2.7389999999999963, 690.95, 1627.65, -0.12022076547145844, -1.3649680614471436, 1.3702521281, 0.0475049621
2.7719999999999962, 690.26, 1625.34, -21.020137786865234, -70.02767181396484, 73.1144390077, 2.5347880007
2.804999999999996, 690.42, 1625.21, 4.999334335327148, -3.8692591190338135, 6.3217488132, 0.2191672842
2.837999999999996, 689.61, 1622.54, -24.648956298828125, -80.98070526123047, 84.6489534046, 2.9346754796
2.870999999999996, 689.51, 1622.21, -3.155332565307617, -9.858102798461914, 10.350763899, 0.3588482998
2.903999999999996, 688.96, 1619.17, -16.575668334960938, -92.1778793334961, 93.656364698, 3.2469513908
2.936999999999996, 689.41, 1619.01, 13.599742889404297, -4.960493564605713, 14.476169867, 0.5018710692
2.9699999999999958, 688.46, 1617.17, -28.684673309326172, -55.77873611450195, 62.7222279647, 2.1745027792
3.0029999999999957, 688.3, 1617.21, -4.755193710327148, 1.143022060394287, 4.890640795, 0.169552523
3.0359999999999956, 687.46, 1614.63, -25.592226028442383, -78.20638275146484, 82.2873027588, 2.8527999459
3.0689999999999955, 687.55, 1614.62, 2.643007278442383, -0.24044153094291687, 2.6539215653, 0.0920082084
3.1019999999999954, 689.9, 1624.08, 71.17809295654297, 286.52862548828125, 295.2371530863, 10.2355102927
3.1349999999999953, 689.83, 1624.08, -2.07704496383667, -0.0406901054084301, 2.0774435202, 0.072022421
3.1679999999999953, 690.03, 1623.96, 5.938905715942383, -3.5622336864471436, 6.9253235228, 0.2400924797
3.200999999999995, 690.02, 1624.01, -0.417998343706131, 1.4426491260528564, 1.5019851106, 0.0520719831
3.233999999999995, 689.98, 1624.2, -1.2669419050216675, 5.704012870788574, 5.8430217758, 0.2025704045
3.266999999999995, 689.96, 1624.2, -0.7472182512283325, -0.018495501950383186, 0.7474471195, 0.0259130757
3.299999999999995, 689.97, 1624.26, 0.17200817167758942, 1.9050366878509521, 1.9127863152, 0.0663139575
3.332999999999995, 689.83, 1624.19, -4.1281962394714355, -2.1454782485961914, 4.6524273843, 0.161293956
3.3659999999999948, 689.83, 1624.16, -0.14981356263160706, -0.8138020634651184, 0.8274768596, 0.0286876087
