t,x,y,vx,vy,v, v_cm
0, 678.34, 1565.45, 0, 0, 0.0, 0.0
0.033, 678.19, 1564.98, -4.403779029846191, -14.374704360961914, 15.0341408343, 0.5212152388
0.066, 678.45, 1564.66, 7.984508037567139, -9.628758430480957, 12.5086115356, 0.433658233
0.099, 678.34, 1564.67, -3.436464309692383, 0.36991003155708313, 3.4563159957, 0.11982624
0.132, 678.1, 1564.76, -7.318670272827148, 2.7558298110961914, 7.8203281094, 0.271121192
0.165, 677.89, 1564.26, -6.493770599365234, -15.269886016845703, 16.5933260819, 0.5752702806
0.198, 678.14, 1564.12, 7.592403411865234, -4.298354625701904, 8.724702724, 0.3024747516
0.231, 678.46, 1564.29, 9.691642761230469, 5.2490234375, 11.0218050456, 0.382112474
0.264, 678.64, 1564.39, 5.506111145019531, 3.036961317062378, 6.2881152844, 0.218001251
0.29700000000000004, 678.46, 1564.27, -5.511659622192383, -3.6214191913604736, 6.5949274973, 0.2286380544
0.33000000000000007, 678.03, 1564.16, -13.05782413482666, -3.48085355758667, 13.5138123107, 0.468507312
0.3630000000000001, 677.93, 1564.21, -3.1331379413604736, 1.46484375, 3.4586587469, 0.1199074603
0.39600000000000013, 677.64, 1564.44, -8.920380592346191, 6.89512300491333, 11.2745689834, 0.39087549
0.42900000000000016, 677.86, 1564.14, 6.573301315307617, -9.199663162231445, 11.3067278388, 0.3919903981
0.4620000000000002, 678.35, 1563.8, 14.7705078125, -10.235410690307617, 17.970296299, 0.6230081506
0.4950000000000002, 678.41, 1563.5, 1.7200816869735718, -9.099786758422852, 9.2609287345, 0.3210650502
0.5280000000000002, 678.23, 1563.58, -5.506111145019531, 2.5597774982452393, 6.0720441747, 0.2105103304
0.5610000000000003, 678.39, 1563.53, 4.734848499298096, -1.549923062324524, 4.9820731178, 0.1727223696
0.5940000000000003, 678.49, 1563.58, 3.1812262535095215, 1.5610203742980957, 3.5435836242, 0.1228517017
0.6270000000000003, 678.33, 1563.58, -4.7681403160095215, -0.022194601595401764, 4.7681919876, 0.1653073729
0.6600000000000004, 678.58, 1563.48, 7.577607154846191, -3.11094331741333, 8.1913429152, 0.2839838206
0.6930000000000004, 678.87, 1563.77, 8.776115417480469, 8.896336555480957, 12.4965998794, 0.4332418036
