t,x,y,vx,vy,v, v_cm
0, 638.22, 1562.16, 0, 0, 0.0, 0.0
0.033, 638.49, 1562.54, 8.17501163482666, 11.548591613769531, 14.1492323165, 0.4905365449
0.066, 638.33, 1562.65, -4.742246627807617, 3.462357997894287, 5.8716970046, 0.2035645396
0.099, 638.21, 1562.54, -3.7749319076538086, -3.3809778690338135, 5.0676544699, 0.1756893702
0.132, 638.31, 1562.89, 3.0314128398895264, 10.605320930480957, 11.0300631222, 0.3823987714
0.165, 638.27, 1562.88, -1.2613931894302368, -0.2996271252632141, 1.2964910835, 0.0449477571
0.198, 637.92, 1562.8, -10.597922325134277, -2.2823450565338135, 10.8408973306, 0.3758406252
0.231, 637.85, 1562.66, -2.225008964538574, -4.224372863769531, 4.774514634, 0.1655265713
0.264, 638.15, 1562.67, 9.144176483154297, 0.38470643758773804, 9.1522658081, 0.3172978397
0.29700000000000004, 638.24, 1562.26, 2.580122470855713, -12.45857048034668, 12.7229320952, 0.4410884641
0.33000000000000007, 637.99, 1562.27, -7.723721504211426, 0.2034505158662796, 7.7264005607, 0.267864839
0.3630000000000001, 638.03, 1562.35, 1.3242779970169067, 2.4636008739471436, 2.7969700461, 0.0969675239
0.39600000000000013, 638.13, 1562.12, 2.9814748764038086, -6.83963680267334, 7.4612212601, 0.2586713976
0.42900000000000016, 638.04, 1562.18, -2.8113162517547607, 1.7718690633773804, 3.3231038646, 0.1152079386
0.4620000000000002, 637.83, 1561.93, -6.388346195220947, -7.720022678375244, 10.020464747, 0.347397233
0.4950000000000002, 638.05, 1562.0, 6.602894306182861, 2.2083630561828613, 6.9624049292, 0.2413780467
0.5280000000000002, 637.97, 1562.07, -2.4987423419952393, 2.2490530014038086, 3.3618376466, 0.1165507914
0.5610000000000003, 638.07, 1562.03, 3.007368564605713, -1.183712124824524, 3.2319406387, 0.1120474213
0.5940000000000003, 638.25, 1562.1, 5.398837089538574, 2.271247625350952, 5.8571330346, 0.2030596246
0.6270000000000003, 638.4, 1561.91, 4.64237117767334, -5.641128063201904, 7.3057470196, 0.2532812962
0.6600000000000004, 638.39, 1561.97, -0.18495501577854156, 1.8088600635528564, 1.8182912582, 0.0630379297
0.6930000000000004, 638.37, 1561.82, -0.5733605623245239, -4.424124240875244, 4.4611230601, 0.1546616695
0.7260000000000004, 638.41, 1561.92, 1.2632428407669067, 2.9407849311828613, 3.2006247089, 0.1109617364
0.7590000000000005, 638.39, 1561.75, -0.4586884379386902, -5.297111988067627, 5.3169343281, 0.1843315974
0.7920000000000005, 638.41, 1561.64, 0.6048029065132141, -3.266305685043335, 3.3218276931, 0.1151636953
0.8250000000000005, 638.49, 1561.65, 2.363725185394287, 0.23304332792758942, 2.3751855075, 0.0823447708
0.8580000000000005, 638.54, 1561.71, 1.46484375, 1.9272313117980957, 2.4207411542, 0.0839241293
0.8910000000000006, 638.49, 1561.62, -1.5684186220169067, -2.685546875, 3.1099998575, 0.1078198838
0.9240000000000006, 638.33, 1561.44, -4.897608757019043, -5.4709696769714355, 7.3428933801, 0.254569115
0.9570000000000006, 638.15, 1561.53, -5.528305530548096, 2.855705499649048, 6.2223160071, 0.2157200707
0.9900000000000007, 638.12, 1561.58, -0.8803858757019043, 1.4870383739471436, 1.7281095038, 0.0599114387
1.0230000000000006, 638.1, 1561.8, -0.7250236868858337, 6.643584251403809, 6.6830283929, 0.2316924045
1.0560000000000005, 638.32, 1563.84, 6.676876068115234, 61.767578125, 62.1274030439, 2.1538809281
1.0890000000000004, 638.06, 1563.81, -7.836544036865234, -0.8951823115348816, 7.887507361, 0.2734502143
1.1220000000000003, 638.4, 1565.76, 10.355631828308105, 59.059837341308594, 59.9608494503, 2.0787691701
1.1550000000000002, 638.63, 1565.75, 7.08192777633667, -0.3551136255264282, 7.090825625, 0.2458302348
1.1880000000000002, 638.6, 1565.81, -0.9395714998245239, 1.9679213762283325, 2.1807130431, 0.0756026488
1.221, 638.02, 1563.43, -17.515239715576172, -72.2286376953125, 74.3220005491, 2.5766526795
1.254, 637.98, 1563.32, -1.0838364362716675, -3.4438624382019043, 3.6103864301, 0.1251676731
1.287, 637.62, 1560.93, -10.771780014038086, -72.3507080078125, 73.1481800867, 2.5359577626
1.3199999999999998, 637.81, 1560.89, 5.7761454582214355, -1.2170040607452393, 5.9029615825, 0.2046484442
1.3529999999999998, 637.26, 1558.78, -16.775421142578125, -64.04622650146484, 66.206748116, 2.2953068227
1.3859999999999997, 637.14, 1558.83, -3.495649814605713, 1.427852749824524, 3.7760205639, 0.1309100055
1.4189999999999996, 636.35, 1556.72, -23.947975158691406, -64.0721206665039, 68.401331767, 2.3713903485
1.4519999999999995, 636.35, 1556.42, 0.13871626555919647, -8.974017143249512, 8.9750890361, 0.3111553382
1.4849999999999994, 635.92, 1554.61, -12.94685173034668, -54.99452590942383, 56.4979560955, 1.9587149012
1.5179999999999993, 635.96, 1554.66, 1.189260721206665, 1.4685428142547607, 1.8896981482, 0.065513519
1.5509999999999993, 636.96, 1558.95, 30.356666564941406, 130.0344696044922, 133.5308587345, 4.629351234
1.5839999999999992, 636.87, 1558.8, -2.7539801597595215, -4.594282627105713, 5.3564765588, 0.1857024781
1.616999999999999, 636.77, 1558.92, -3.1516335010528564, 3.6991004943847656, 4.8596438613, 0.1684778973
1.649999999999999, 636.75, 1559.05, -0.5234227180480957, 3.9321436882019043, 3.9668281287, 0.13752507
1.682999999999999, 636.8, 1559.02, 1.6368519067764282, -0.8322975635528564, 1.8363015321, 0.0636623238
