t,x_px,y_px,x_cm,y_cm
0, 795.77, 1553.23, 27.588370706272272, 53.848580660370814
0.033, 796.47, 1552.97, 27.612638848441986, 53.83956677899349
0.066, 796.46, 1554.08, 27.612292160696704, 53.87804911871975
0.099, 796.69, 1554.22, 27.62026597883818, 53.88290274715369
0.132, 796.08, 1554.24, 27.599118026376004, 53.883596122644256
0.165, 795.8, 1554.37, 27.589410769508117, 53.88810306333291
0.198, 795.73, 1554.3, 27.58698395529115, 53.885676249115946
0.231, 795.79, 1553.84, 27.589064081762835, 53.86972861283299
0.264, 795.61, 1553.69, 27.58282370234777, 53.86452829665377
0.29700000000000004, 795.56, 1553.56, 27.58109026362136, 53.86002135596511
0.33000000000000007, 795.8, 1553.88, 27.589410769508117, 53.87111536381412
0.3630000000000001, 795.63, 1553.75, 27.583517077838334, 53.866608423125456
0.39600000000000013, 795.82, 1553.75, 27.590104144998683, 53.866608423125456
0.42900000000000016, 795.65, 1553.35, 27.584210453328893, 53.85274091331419
0.4620000000000002, 795.94, 1553.32, 27.594264397942062, 53.85170085007835
0.4950000000000002, 795.56, 1553.29, 27.58109026362136, 53.850660786842504
0.5280000000000002, 795.73, 1552.94, 27.58698395529115, 53.83852671575765
0.5610000000000003, 795.87, 1552.78, 27.59183758372509, 53.83297971183315
0.5940000000000003, 796.03, 1552.68, 27.597384587649593, 53.82951283438033
0.6270000000000003, 796.12, 1552.76, 27.60050477735713, 53.832286336342584
0.6600000000000004, 796.0, 1552.65, 27.59634452441375, 53.82847277114449
0.6930000000000004, 795.94, 1552.67, 27.594264397942062, 53.82916614663505
0.7260000000000004, 795.99, 1552.63, 27.59599783666847, 53.82777939565393
0.7590000000000005, 795.96, 1552.67, 27.594957773432625, 53.82916614663505
0.7920000000000005, 795.7, 1552.64, 27.585943892055305, 53.828126083399205
0.8250000000000005, 795.65, 1552.33, 27.584210453328893, 53.81737876329547
0.8580000000000005, 795.52, 1552.29, 27.579703512640233, 53.81599201231435
0.8910000000000006, 795.42, 1552.25, 27.576236635187417, 53.81460526133322
0.9240000000000006, 795.25, 1552.26, 27.570342943517634, 53.814951949078505
0.9570000000000006, 795.19, 1552.18, 27.568262817045945, 53.81217844711625
0.9900000000000007, 795.43, 1552.29, 27.5765833229327, 53.81599201231435
1.0230000000000006, 795.02, 1552.19, 27.562369125376154, 53.81252513486153
1.0560000000000005, 794.16, 1551.71, 27.53255397928194, 53.795884123088015
1.0890000000000004, 794.16, 1552.02, 27.53255397928194, 53.80663144319175
1.1220000000000003, 793.66, 1551.6, 27.51521959201786, 53.792070557889915
1.1550000000000002, 793.56, 1551.5, 27.511752714565045, 53.788603680437106
1.1880000000000002, 794.01, 1551.96, 27.527353663102716, 53.80455131672006
1.221, 793.72, 1551.6, 27.51729971848955, 53.792070557889915
1.254, 794.12, 1552.04, 27.531167228300813, 53.80732481868231
1.287, 793.74, 1551.66, 27.517993093980113, 53.79415068436161
1.3199999999999998, 794.39, 1551.77, 27.540527797423415, 53.797964249559705
1.3529999999999998, 794.76, 1551.79, 27.553355243998833, 53.79865762505027
1.3859999999999997, 794.27, 1551.49, 27.536367544480036, 53.78825699269182
1.4189999999999996, 794.74, 1551.72, 27.55266186850827, 53.7962308108333
1.4519999999999995, 794.41, 1550.63, 27.54122117291398, 53.75844184659761
1.4849999999999994, 790.35, 1547.4, 27.40046594832966, 53.64646170487166
1.5179999999999993, 786.29, 1541.08, 27.259710723745336, 53.427355049853695
1.5509999999999993, 784.07, 1523.07, 27.182746044292827, 52.80297042060157
1.5839999999999992, 783.74, 1505.63, 27.171305348698535, 52.1983469928305
1.616999999999999, 790.91, 1496.41, 27.419880462065425, 51.878700891680886
1.649999999999999, 791.89, 1488.13, 27.453855861103023, 51.59164343858774
1.682999999999999, 787.29, 1483.08, 27.294379498273493, 51.416566127220534
1.7159999999999989, 780.54, 1477.61, 27.060365270208425, 51.226927930551504
1.7489999999999988, 775.57, 1469.41, 26.888061460803485, 50.942643979420616
1.7819999999999987, 770.22, 1460.87, 26.70258351707784, 50.64657264495014
1.8149999999999986, 764.92, 1455.42, 26.5188390120786, 50.45762782377169
1.8479999999999985, 762.7, 1442.19, 26.441874332626092, 49.99895993676416
1.8809999999999985, 765.44, 1430.4, 26.536866774833246, 49.590215085077176
1.9139999999999984, 768.46, 1420.61, 26.64156647390828, 49.2508077824465
1.9469999999999983, 770.35, 1409.84, 26.7070904577665, 48.87742508077824
1.9799999999999982, 768.48, 1398.97, 26.642259849398844, 48.50057550165717
2.012999999999998, 764.73, 1390.52, 26.51225194491825, 48.20762435689423
2.045999999999998, 763.4, 1381.25, 26.4661424747958, 47.88624481701821
2.078999999999998, 761.13, 1368.95, 26.387444356616882, 47.45981889032186
2.111999999999998, 761.47, 1353.59, 26.399231739956456, 46.927306513569356
2.144999999999998, 765.76, 1340.96, 26.547960782682253, 46.48943989127872
2.1779999999999977, 770.28, 1332.64, 26.704663643549527, 46.200995687204454
2.2109999999999976, 772.84, 1323.46, 26.793415706341612, 45.88273633703596
2.2439999999999976, 772.66, 1312.05, 26.787175326926544, 45.487165619669675
2.2769999999999975, 769.88, 1304.83, 26.690796133738264, 45.23685706757637
2.3099999999999974, 765.76, 1294.04, 26.547960782682253, 44.86278099041755
2.3429999999999973, 764.38, 1280.58, 26.500117873833396, 44.39613928526854
2.3759999999999972, 763.78, 1267.08, 26.4793166091165, 43.92811082913841
2.408999999999997, 767.11, 1252.37, 26.59476362829527, 43.4181331558292
2.441999999999997, 770.94, 1242.91, 26.727545034738114, 43.09016654879284
